"year","month","day","load"
2013,2,22,24388
2013,2,22,24886
2013,2,22,26067
2013,2,22,26220
2013,2,22,25752
2013,2,22,24946
2013,2,22,24163
2013,2,22,22761
2013,2,23,21726
2013,2,23,20707
2013,2,23,19956
2013,2,23,19771
2013,2,23,19837
2013,2,23,19961
2013,2,23,20298
2013,2,23,20505
2013,2,23,21323
2013,2,23,22763
2013,2,23,23343
2013,2,23,23628
2013,2,23,23583
2013,2,23,23332
2013,2,23,23051
2013,2,23,22870
2013,2,23,22937
2013,2,23,23347
2013,2,23,24878
2013,2,23,24928
2013,2,23,24533
2013,2,23,24051
2013,2,23,23437
2013,2,23,22024
2013,2,24,21080
2013,2,24,20177
2013,2,24,19569
2013,2,24,19203
2013,2,24,19194
2013,2,24,19423
2013,2,24,19710
2013,2,24,19733
2013,2,24,20230
2013,2,24,21337
2013,2,24,22057
2013,2,24,22599
2013,2,24,22503
2013,2,24,22213
2013,2,24,22107
2013,2,24,22039
2013,2,24,22261
2013,2,24,22788
2013,2,24,24698
2013,2,24,25035
2013,2,24,24895
2013,2,24,24271
2013,2,24,23455
2013,2,24,21880
2013,2,25,20932
2013,2,25,19944
2013,2,25,19527
2013,2,25,19207
2013,2,25,19224
2013,2,25,19544
2013,2,25,20739
2013,2,25,22278
2013,2,25,23141
2013,2,25,24568
2013,2,25,24990
2013,2,25,24904
2013,2,25,24638
2013,2,25,24537
2013,2,25,24465
2013,2,25,24204
2013,2,25,24142
2013,2,25,24101
2013,2,25,25981
2013,2,25,26054
2013,2,25,25698
2013,2,25,24804
2013,2,25,23936
2013,2,25,22316
2013,2,26,21115
2013,2,26,20038
2013,2,26,19606
2013,2,26,19439
2013,2,26,19464
2013,2,26,19974
2013,2,26,20796
2013,2,26,22219
2013,2,26,23133
2013,2,26,24186
2013,2,26,24416
2013,2,26,24395
2013,2,26,24076
2013,2,26,23951
2013,2,26,23705
2013,2,26,23616
2013,2,26,23756
2013,2,26,23725
2013,2,26,25604
2013,2,26,25898
2013,2,26,25562
2013,2,26,24933
2013,2,26,24048
2013,2,26,22145
2013,2,27,21282
2013,2,27,20115
2013,2,27,19633
2013,2,27,19549
2013,2,27,19414
2013,2,27,19956
2013,2,27,20743
2013,2,27,22267
2013,2,27,23131
2013,2,27,24085
2013,2,27,24223
2013,2,27,24107
2013,2,27,23860
2013,2,27,23508
2013,2,27,23523
2013,2,27,23145
2013,2,27,23423
2013,2,27,23369
2013,2,27,25178
2013,2,27,25719
2013,2,27,25554
2013,2,27,24964
2013,2,27,23870
2013,2,27,22312
2013,2,28,21107
